west,south,east,north
23.920116850704154,64.335401033452,31.920116850704154,72.335401033452
60.45770180234513,63.87910316649173,68.45770180234513,71.87910316649173
83.07022974150777,63.244818851920655,91.07022974150777,71.24481885192066
-132.26113002709366,61.940335155045744,-124.26113002709366,69.94033515504574
-23.52612501549789,60.537419468065266,-15.52612501549789,68.53741946806527
67.45619023828439,57.439902715942935,75.45619023828439,65.43990271594294
5.773316705472473,56.51569562762902,13.773316705472473,64.51569562762901
7.730049413335555,51.549317575488274,15.730049413335555,59.549317575488274
-133.3199265641796,51.148983809702,-125.31992656417961,59.148983809702
-88.9433059241119,49.35803944696619,-80.9433059241119,57.35803944696619
